STATION,NAME,DATE,ACMC,ACMH,ACSC,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/1/70,,100,,100,,,2018,0.14,0,2.2,1,,31,26,0,,,,270,270,,,,,20.8,16.1,,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/2/70,,100,,100,,,2306,0.06,0,1.5,2,,30,24,0,,,,225,225,0.3,,,,21.9,16.1,1,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/3/70,,90,,90,,,1518,0.04,16,0.7,3,,27,15,90,,,,270,270,0.4,,,,20.8,17,,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/4/70,,80,,90,,,1406,0.01,15,0.3,3,,22,12,84,,,,225,225,0.4,,,,19.5,15,,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/5/70,,50,,60,,,1500,0,35,0.2,3,,36,7,198,,,,225,225,0.4,,,,21.9,16.1,,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/6/70,,100,,100,,,442,0.03,5,0.7,3,,27,12,30,,,,360,315,0.4,,,,18.3,15,1,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/7/70,,70,,70,,,2342,0.01,60,0.2,3,,12,-1,342,,,,225,270,0.4,,,,32.2,21.9,,,,,,,,1,,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/8/70,,60,,90,,,2300,0,42,0,3,,-1,-6,180,,,,225,270,0.4,,,,38,28,,,,,,,,1,1,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/9/70,,90,,90,,,0,0.04,40,0.6,3,,6,-3,234,,,,270,225,0.4,,,,30,23,,,,,,,,1,1,,,,,,,1,,,,
USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",1/10/70,,40,,10,,,1542,0.03,91,0.7,4,,13,4,522,,,,225,225,0.4,,,,17.2,13,,,,,,,,1,,,,,,,,1,,,,
